norm,-3750.4432647796893,1.009780850739752,"(10.856260930361984, 0.2919045002438211)"
beta,-3750.184186586095,1.2705201486259703,"(364.87933577547363, 431.3367243552041, 3.2758077228036275, 16.54157441896509)"
gamma,-3750.2047227090734,1.2883317932222595,"(28532.084433159544, -38.45065752075047, 0.0017281219025688426)"
pearson3,-3750.2047480605643,1.2896068071984041,"(0.011899648649981054, 10.856264999172193, 0.29190691334889135)"
lognorm,-3750.920225480342,2.438234830247653,"(0.010872404014110125, -16.003623600716686, 26.85801472349138)"
weibull_max,-3863.9892527628754,65.66149051861662,"(4.492720792453061, 12.042258498181576, 1.2981617109046732)"
invgauss,-4005.8950871677225,225.57468309786088,"(0.01745673667969885, 8.555723145276737, 131.5246715064353)"
triang,-8396.286535662472,7078.7167808588765,"(0.5134335580241474, 9.63174489961435, 2.402184486232237)"
weibull_min,-9551.525112029925,8581.325279714276,"(533102816.67082655, -266555837.11416727, 266555848.05581123)"
uniform,-17522.935206165694,21509.910662813138,"(9.63191571754346, 2.4018382549794683)"
expon,-24044.98574778663,53840.99967059544,"(9.63191571754346, 1.2243452128185233)"
